cle,avant,apres
s2/negocier-gafam,petit homme blanc en costume,petite fonctionnaire d'Asie de l'Est au carré
s2/negocier-gafam-2,petit fonctionnaire homme blanc,fonctionnaire sikh barbu au turban
s2/reguler-ia,arbitre homme blanc,arbitre noire à la queue-de-cheval
s2/riposte-2,petit fonctionnaire homme blanc debout,fonctionnaire âgé en fauteuil roulant
s2/verite-alternative,foule de minuscules silhouettes,foule : femme en foulard + homme noir et enfant + dame à la canne + adolescente à l'afro + homme à lunettes
s3/prologue,deux groupes d'artistes hommes blancs à béret,sept artistes : locs et béret + barbe grise + carré + boucles + hijab + dame à lunettes + adolescent sud-asiatique
s3/ceci-n-est-pas-une-biere,trois minuscules brasseurs en silhouette,trois brasseurs : femme noire au foulard + homme chauve moustachu + homme au turban
s3/ceci-n-est-pas-une-biere-intro-2,porte-parole homme blanc,porte-parole à l'afro (peau en trame)
s3/ceci-n-est-pas-une-biere-fin,minuscule politicien en silhouette,politicien noir perdu dans le labyrinthe
s3/interdire-ia-art,trois graphistes (dont une femme) + deux brasseurs (un visage sarcelle),graphistes en hijab et à l'afro + brasseuse à la tresse + brasseur moustachu
s3/creer-cca,artiste + brasseur + officiel : trois hommes blancs,artiste aux locs + brasseur âgé + officielle en hijab + personne bouclée
s3/dedommager-brasseurs-2,artiste moustachu + file de silhouettes,infirmier + femme enceinte noire + dame en foulard à la canne + père et enfant
s3/integrer-dominique,deux infirmières en silhouette,infirmier noir + infirmière en hijab + infirmière âgée
s3/integrer-dominique-3,cinq silhouettes noires de dos (une femme),groupe de trois quarts : fauteuil + femme aux cheveux gris + foulard + homme barbu (ton sobre gardé)
s3/interdire-ia-sante,politicien blanc + médecin homme blanc,politicien blanc + médecins noires et médecin noir qui protestent
s3/interdire-ia-sante-2,une douzaine de chercheurs presque tous hommes blancs,chercheurs et chercheuses : hijab + lunettes + peaux foncées + barbe + fauteuil roulant
s3/recherche-ia-sante,trois juristes hommes blancs,juriste noire au chignon + juriste âgé
s3/recherche-ia-sante-2,minuscule médecin blanc,médecin en hijab + infirmier noir
s3/regarder-nos-souvenirs-intro-2,trois vieux experts hommes blancs,experte noire aux cheveux blancs + expert blanc + experte au chignon gris
s3/accueillir-neooculus-1,file de minuscules silhouettes + politicien,file variée (foulard + canne + tresses + fauteuil + bébé) + politicienne aux cheveux gris
s3/enqueter-neooculus,enquêteur blanc en imperméable,enquêtrice noire à l'afro + enquêteur âgé
s3/enqueter-neooculus-2,petit politicien blanc,politicienne trapue au carré
s3/financer-transhumanisme,profil noir anonyme (garçon),jeune fille noire aux locs de profil (traits en trame)
s3/financer-transhumanisme-2,deux groupes d'hommes blancs,augmenté·es (homme blanc + femme d'Asie de l'Est + homme noir) face à des gens ordinaires variés (foulard + tresses + dame âgée)
